   i   x noeuds       y noeuds       x centre Vol       y centre Vol    Vitesse x       Vitesse y    x ctr faces horiz    y ctr faces horiz
   1  -0.250000E-02   -0.250000E-02   -0.247475E-02   -0.247475E-02   -0.612323E-17   -0.612323E-17   -0.247475E-02   -0.250000E-02
   2  -0.244949E-02   -0.244949E-02   -0.242424E-02   -0.242424E-02    0.158560E-02   -0.158560E-02   -0.242424E-02   -0.244949E-02
   3  -0.239899E-02   -0.239899E-02   -0.237374E-02   -0.237374E-02    0.316481E-02   -0.316481E-02   -0.237374E-02   -0.239899E-02
   4  -0.234848E-02   -0.234848E-02   -0.232323E-02   -0.232323E-02    0.473128E-02   -0.473128E-02   -0.232323E-02   -0.234848E-02
   5  -0.229798E-02   -0.229798E-02   -0.227273E-02   -0.227273E-02    0.627870E-02   -0.627870E-02   -0.227273E-02   -0.229798E-02
   6  -0.224747E-02   -0.224747E-02   -0.222222E-02   -0.222222E-02    0.780084E-02   -0.780084E-02   -0.222222E-02   -0.224747E-02
   7  -0.219697E-02   -0.219697E-02   -0.217172E-02   -0.217172E-02    0.929156E-02   -0.929156E-02   -0.217172E-02   -0.219697E-02
   8  -0.214646E-02   -0.214646E-02   -0.212121E-02   -0.212121E-02    0.107449E-01   -0.107449E-01   -0.212121E-02   -0.214646E-02
   9  -0.209596E-02   -0.209596E-02   -0.207071E-02   -0.207071E-02    0.121549E-01   -0.121549E-01   -0.207071E-02   -0.209596E-02
  10  -0.204545E-02   -0.204545E-02   -0.202020E-02   -0.202020E-02    0.135160E-01   -0.135160E-01   -0.202020E-02   -0.204545E-02
  11  -0.199495E-02   -0.199495E-02   -0.196970E-02   -0.196970E-02    0.148227E-01   -0.148227E-01   -0.196970E-02   -0.199495E-02
  12  -0.194444E-02   -0.194444E-02   -0.191919E-02   -0.191919E-02    0.160697E-01   -0.160697E-01   -0.191919E-02   -0.194444E-02
  13  -0.189394E-02   -0.189394E-02   -0.186869E-02   -0.186869E-02    0.172520E-01   -0.172520E-01   -0.186869E-02   -0.189394E-02
  14  -0.184343E-02   -0.184343E-02   -0.181818E-02   -0.181818E-02    0.183648E-01   -0.183648E-01   -0.181818E-02   -0.184343E-02
  15  -0.179293E-02   -0.179293E-02   -0.176768E-02   -0.176768E-02    0.194037E-01   -0.194037E-01   -0.176768E-02   -0.179293E-02
  16  -0.174242E-02   -0.174242E-02   -0.171717E-02   -0.171717E-02    0.203644E-01   -0.203644E-01   -0.171717E-02   -0.174242E-02
  17  -0.169192E-02   -0.169192E-02   -0.166667E-02   -0.166667E-02    0.212431E-01   -0.212431E-01   -0.166667E-02   -0.169192E-02
  18  -0.164141E-02   -0.164141E-02   -0.161616E-02   -0.161616E-02    0.220363E-01   -0.220363E-01   -0.161616E-02   -0.164141E-02
  19  -0.159091E-02   -0.159091E-02   -0.156566E-02   -0.156566E-02    0.227408E-01   -0.227408E-01   -0.156566E-02   -0.159091E-02
  20  -0.154040E-02   -0.154040E-02   -0.151515E-02   -0.151515E-02    0.233537E-01   -0.233537E-01   -0.151515E-02   -0.154040E-02
  21  -0.148990E-02   -0.148990E-02   -0.146465E-02   -0.146465E-02    0.238726E-01   -0.238726E-01   -0.146465E-02   -0.148990E-02
  22  -0.143939E-02   -0.143939E-02   -0.141414E-02   -0.141414E-02    0.242953E-01   -0.242953E-01   -0.141414E-02   -0.143939E-02
  23  -0.138889E-02   -0.138889E-02   -0.136364E-02   -0.136364E-02    0.246202E-01   -0.246202E-01   -0.136364E-02   -0.138889E-02
  24  -0.133838E-02   -0.133838E-02   -0.131313E-02   -0.131313E-02    0.248460E-01   -0.248460E-01   -0.131313E-02   -0.133838E-02
  25  -0.128788E-02   -0.128788E-02   -0.126263E-02   -0.126263E-02    0.249717E-01   -0.249717E-01   -0.126263E-02   -0.128788E-02
  26  -0.123737E-02   -0.123737E-02   -0.121212E-02   -0.121212E-02    0.249969E-01   -0.249969E-01   -0.121212E-02   -0.123737E-02
  27  -0.118687E-02   -0.118687E-02   -0.116162E-02   -0.116162E-02    0.249214E-01   -0.249214E-01   -0.116162E-02   -0.118687E-02
  28  -0.113636E-02   -0.113636E-02   -0.111111E-02   -0.111111E-02    0.247455E-01   -0.247455E-01   -0.111111E-02   -0.113636E-02
  29  -0.108586E-02   -0.108586E-02   -0.106061E-02   -0.106061E-02    0.244701E-01   -0.244701E-01   -0.106061E-02   -0.108586E-02
  30  -0.103535E-02   -0.103535E-02   -0.101010E-02   -0.101010E-02    0.240961E-01   -0.240961E-01   -0.101010E-02   -0.103535E-02
  31  -0.984848E-03   -0.984848E-03   -0.959596E-03   -0.959596E-03    0.236250E-01   -0.236250E-01   -0.959596E-03   -0.984848E-03
  32  -0.934343E-03   -0.934343E-03   -0.909091E-03   -0.909091E-03    0.230589E-01   -0.230589E-01   -0.909091E-03   -0.934343E-03
  33  -0.883838E-03   -0.883838E-03   -0.858586E-03   -0.858586E-03    0.223998E-01   -0.223998E-01   -0.858586E-03   -0.883838E-03
  34  -0.833333E-03   -0.833333E-03   -0.808081E-03   -0.808081E-03    0.216506E-01   -0.216506E-01   -0.808081E-03   -0.833333E-03
  35  -0.782828E-03   -0.782828E-03   -0.757576E-03   -0.757576E-03    0.208142E-01   -0.208142E-01   -0.757576E-03   -0.782828E-03
  36  -0.732323E-03   -0.732323E-03   -0.707071E-03   -0.707071E-03    0.198940E-01   -0.198940E-01   -0.707071E-03   -0.732323E-03
  37  -0.681818E-03   -0.681818E-03   -0.656566E-03   -0.656566E-03    0.188937E-01   -0.188937E-01   -0.656566E-03   -0.681818E-03
  38  -0.631313E-03   -0.631313E-03   -0.606061E-03   -0.606061E-03    0.178174E-01   -0.178174E-01   -0.606061E-03   -0.631313E-03
  39  -0.580808E-03   -0.580808E-03   -0.555556E-03   -0.555556E-03    0.166692E-01   -0.166692E-01   -0.555556E-03   -0.580808E-03
  40  -0.530303E-03   -0.530303E-03   -0.505051E-03   -0.505051E-03    0.154540E-01   -0.154540E-01   -0.505051E-03   -0.530303E-03
  41  -0.479798E-03   -0.479798E-03   -0.454545E-03   -0.454545E-03    0.141765E-01   -0.141765E-01   -0.454545E-03   -0.479798E-03
  42  -0.429293E-03   -0.429293E-03   -0.404040E-03   -0.404040E-03    0.128419E-01   -0.128419E-01   -0.404040E-03   -0.429293E-03
  43  -0.378788E-03   -0.378788E-03   -0.353535E-03   -0.353535E-03    0.114557E-01   -0.114557E-01   -0.353535E-03   -0.378788E-03
  44  -0.328283E-03   -0.328283E-03   -0.303030E-03   -0.303030E-03    0.100233E-01   -0.100233E-01   -0.303030E-03   -0.328283E-03
  45  -0.277778E-03   -0.277778E-03   -0.252525E-03   -0.252525E-03    0.855050E-02   -0.855050E-02   -0.252525E-03   -0.277778E-03
  46  -0.227273E-03   -0.227273E-03   -0.202020E-03   -0.202020E-03    0.704331E-02   -0.704331E-02   -0.202020E-03   -0.227273E-03
  47  -0.176768E-03   -0.176768E-03   -0.151515E-03   -0.151515E-03    0.550776E-02   -0.550776E-02   -0.151515E-03   -0.176768E-03
  48  -0.126263E-03   -0.126263E-03   -0.101010E-03   -0.101010E-03    0.395003E-02   -0.395003E-02   -0.101010E-03   -0.126263E-03
  49  -0.757576E-04   -0.757576E-04   -0.505051E-04   -0.505051E-04    0.237640E-02   -0.237640E-02   -0.505051E-04   -0.757576E-04
  50  -0.252525E-04   -0.252525E-04   -0.330682E-17   -0.330682E-17    0.793198E-03   -0.793198E-03   -0.330682E-17   -0.252525E-04
