#  i        x        y        dy_analy      dy_num      erreur        log10(erreur)
   1   0.000000E+00    0.000000E+00    0.000000E+00    0.319224E-03    0.100000E-12   -0.130000E+02
   2   0.400000E-01    0.159787E-02    0.797868E-01    0.795742E-01    0.266537E-02   -0.257424E+01
   3   0.800000E-01    0.636593E-02    0.158298E+00    0.157876E+00    0.266730E-02   -0.257393E+01
   4   0.120000E+00    0.142280E-01    0.234278E+00    0.233652E+00    0.267058E-02   -0.257339E+01
   5   0.160000E+00    0.250581E-01    0.306505E+00    0.305685E+00    0.267527E-02   -0.257263E+01
   6   0.200000E+00    0.386827E-01    0.373815E+00    0.372812E+00    0.268149E-02   -0.257162E+01
   7   0.240000E+00    0.548831E-01    0.435113E+00    0.433943E+00    0.268940E-02   -0.257034E+01
   8   0.280000E+00    0.733982E-01    0.489393E+00    0.488072E+00    0.269920E-02   -0.256876E+01
   9   0.320000E+00    0.939289E-01    0.535752E+00    0.534300E+00    0.271117E-02   -0.256684E+01
  10   0.360000E+00    0.116142E+00    0.573400E+00    0.571837E+00    0.272567E-02   -0.256453E+01
  11   0.400000E+00    0.139676E+00    0.601675E+00    0.600024E+00    0.274318E-02   -0.256175E+01
  12   0.440000E+00    0.164144E+00    0.620051E+00    0.618337E+00    0.276435E-02   -0.255841E+01
  13   0.480000E+00    0.189143E+00    0.628149E+00    0.626396E+00    0.279004E-02   -0.255439E+01
  14   0.520000E+00    0.214256E+00    0.625736E+00    0.623971E+00    0.282144E-02   -0.254953E+01
  15   0.560000E+00    0.239060E+00    0.612736E+00    0.610983E+00    0.286025E-02   -0.254360E+01
  16   0.600000E+00    0.263134E+00    0.589225E+00    0.587511E+00    0.290895E-02   -0.253626E+01
  17   0.640000E+00    0.286061E+00    0.555435E+00    0.553785E+00    0.297125E-02   -0.252706E+01
  18   0.680000E+00    0.307437E+00    0.511748E+00    0.510186E+00    0.305306E-02   -0.251526E+01
  19   0.720000E+00    0.326876E+00    0.458691E+00    0.457240E+00    0.316434E-02   -0.249972E+01
  20   0.760000E+00    0.344016E+00    0.396930E+00    0.395611E+00    0.332320E-02   -0.247844E+01
  21   0.800000E+00    0.358525E+00    0.327258E+00    0.326091E+00    0.356641E-02   -0.244777E+01
  22   0.840000E+00    0.370104E+00    0.250587E+00    0.249589E+00    0.398185E-02   -0.239991E+01
  23   0.880000E+00    0.378492E+00    0.167932E+00    0.167119E+00    0.484409E-02   -0.231479E+01
  24   0.920000E+00    0.383473E+00    0.803989E-01    0.797821E-01    0.767175E-02   -0.211511E+01
  25   0.960000E+00    0.384875E+00   -0.108334E-01   -0.112440E-01    0.378987E-01   -0.142138E+01
  26   0.100000E+01    0.382574E+00   -0.104528E+00   -0.104725E+00    0.189174E-02   -0.272314E+01
  27   0.104000E+01    0.376497E+00   -0.199408E+00   -0.199389E+00    0.935431E-04   -0.402899E+01
