service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11819,1,1,1,1,1,0,0,20200113,20200410
12292,0,0,0,0,0,1,0,20200118,20200411
12088,0,0,0,0,0,0,1,20200119,20200412
11912,0,0,0,0,0,1,0,20200118,20200411
11834,0,0,0,0,0,1,1,20200118,20200412
11936,0,0,0,0,0,1,1,20200118,20200412
11833,1,1,1,1,1,0,0,20200113,20200410
11990,0,0,0,0,0,0,1,20200119,20200412
16015,0,0,0,0,0,1,0,20200118,20200411
12128,0,0,0,0,0,0,1,20200119,20200412
2350,0,0,0,0,0,0,1,20200119,20200412
548,1,1,1,1,1,1,1,20200113,20200412
12969,1,1,1,1,0,1,1,20200113,20200412
14223,1,1,1,1,1,0,0,20200323,20200403
20871,1,1,0,1,1,0,0,20200323,20200403
11966,1,1,1,1,1,0,0,20200113,20200409
11841,0,0,0,0,0,1,0,20200118,20200411
11910,1,1,1,1,1,0,0,20200113,20200409
20872,1,1,1,1,1,0,0,20200113,20200409
11824,0,0,0,0,0,0,1,20200119,20200412
20331,1,1,1,1,1,0,0,20200113,20200409
14225,1,1,1,1,1,0,0,20200113,20200409
15636,0,0,0,0,0,0,1,20200119,20200412
12951,0,0,0,0,0,1,0,20200118,20200411
11825,1,1,1,1,1,1,0,20200113,20200411
11840,1,1,1,1,1,1,1,20200113,20200412
14817,1,1,1,1,1,0,0,20200113,20200410
14777,1,1,1,1,1,1,1,20200113,20200412
12248,1,1,1,1,1,0,0,20200210,20200228
11828,1,1,1,1,1,0,1,20200224,20200322
11826,1,1,1,1,1,0,1,20200114,20200412
11920,1,1,1,1,1,0,0,20200224,20200320
19615,1,1,1,1,1,0,0,20200114,20200410
13608,1,1,1,1,1,0,0,20200114,20200131
16219,1,1,1,1,1,0,0,20200114,20200410
13970,0,0,0,0,1,0,0,20200403,20200410
17312,0,0,0,0,0,1,0,20200118,20200411
11896,0,0,0,0,0,1,0,20200229,20200321
18641,1,1,1,1,1,0,1,20200113,20200131
12762,1,1,1,1,1,1,1,20200114,20200412
13553,0,0,0,0,0,1,1,20200118,20200329
12073,1,1,1,1,1,0,0,20200330,20200410
12706,1,1,1,1,1,0,0,20200114,20200223
11906,1,1,1,1,1,1,1,20200224,20200322
12007,0,0,0,0,0,1,1,20200229,20200322
18644,1,1,1,1,1,0,1,20200323,20200412
13552,0,0,0,0,0,1,1,20200404,20200412
13014,1,1,1,1,1,0,0,20200203,20200223
18642,1,1,1,1,1,0,1,20200202,20200322
13969,1,1,1,1,1,0,0,20200114,20200202
11894,0,0,0,0,0,1,0,20200404,20200411
11892,0,0,0,0,0,1,0,20200118,20200223
11895,1,1,1,1,1,0,1,20200114,20200329
14990,0,0,0,0,0,1,1,20200118,20200412
11898,1,1,1,1,1,0,1,20200330,20200412
20490,1,1,1,1,1,1,0,20200114,20200201
15351,0,0,0,0,0,1,0,20200118,20200411
20488,1,1,1,1,1,1,0,20200203,20200223
12195,1,1,1,1,1,1,0,20200224,20200321
17311,1,1,1,1,1,0,1,20200114,20200412
11901,1,1,1,1,1,1,1,20200114,20200412
11979,1,1,1,1,1,0,0,20200120,20200410
11730,1,1,1,1,1,0,0,20200120,20200131
12071,1,1,1,1,1,0,0,20200203,20200327
