service_id,date,exception_type
12969,20200214,1
12969,20200221,1
12969,20200410,1
20872,20200323,2
20872,20200324,2
20872,20200326,2
20872,20200327,2
20872,20200330,2
20872,20200331,2
20872,20200402,2
20872,20200403,2
11824,20200410,1
20331,20200323,2
20331,20200324,2
20331,20200325,2
20331,20200326,2
20331,20200327,2
20331,20200330,2
20331,20200331,2
20331,20200401,2
20331,20200402,2
20331,20200403,2
14225,20200323,2
14225,20200324,2
14225,20200325,2
14225,20200326,2
14225,20200327,2
14225,20200330,2
14225,20200331,2
14225,20200401,2
14225,20200402,2
14225,20200403,2
15636,20200410,1
15636,20200308,2
1472,20200308,1
12951,20200307,2
1471,20200307,1
14817,20200316,2
14817,20200317,2
14817,20200318,2
14817,20200319,2
14817,20200320,2
14817,20200323,2
14817,20200324,2
14817,20200325,2
14817,20200326,2
14817,20200327,2
14817,20200330,2
14817,20200331,2
14817,20200401,2
14817,20200402,2
14817,20200403,2
14777,20200316,2
14777,20200317,2
14777,20200318,2
14777,20200319,2
14777,20200320,2
14777,20200323,2
14777,20200324,2
14777,20200325,2
14777,20200326,2
14777,20200327,2
14777,20200330,2
14777,20200331,2
14777,20200401,2
14777,20200402,2
14777,20200403,2
11827,20200113,1
11826,20200224,2
11826,20200225,2
11826,20200226,2
11826,20200227,2
11826,20200228,2
11826,20200301,2
11826,20200302,2
11826,20200303,2
11826,20200304,2
11826,20200305,2
11826,20200306,2
11826,20200308,2
11826,20200309,2
11826,20200310,2
11826,20200311,2
11826,20200312,2
11826,20200313,2
11826,20200315,2
11826,20200316,2
11826,20200317,2
11826,20200318,2
11826,20200319,2
11826,20200320,2
11826,20200322,2
19615,20200224,2
19615,20200225,2
19615,20200226,2
19615,20200227,2
19615,20200228,2
19615,20200302,2
19615,20200303,2
19615,20200304,2
19615,20200305,2
19615,20200306,2
19615,20200309,2
19615,20200310,2
19615,20200311,2
19615,20200312,2
19615,20200313,2
19615,20200316,2
19615,20200317,2
19615,20200318,2
19615,20200319,2
19615,20200320,2
11933,20200113,1
16219,20200224,2
16219,20200225,2
16219,20200226,2
16219,20200227,2
16219,20200228,2
16219,20200302,2
16219,20200303,2
16219,20200304,2
16219,20200305,2
16219,20200306,2
16219,20200309,2
16219,20200310,2
16219,20200311,2
16219,20200312,2
16219,20200313,2
16219,20200316,2
16219,20200317,2
16219,20200318,2
16219,20200319,2
16219,20200320,2
17312,20200229,2
17312,20200307,2
17312,20200314,2
17312,20200321,2
12762,20200224,2
12762,20200225,2
12762,20200226,2
12762,20200227,2
12762,20200228,2
12762,20200229,2
12762,20200301,2
12762,20200302,2
12762,20200303,2
12762,20200304,2
12762,20200305,2
12762,20200306,2
12762,20200307,2
12762,20200308,2
12762,20200309,2
12762,20200310,2
12762,20200311,2
12762,20200312,2
12762,20200313,2
12762,20200314,2
12762,20200315,2
12762,20200316,2
12762,20200317,2
12762,20200318,2
12762,20200319,2
12762,20200320,2
12762,20200321,2
12762,20200322,2
13553,20200229,2
13553,20200301,2
13553,20200307,2
13553,20200308,2
13553,20200314,2
13553,20200315,2
13553,20200321,2
13553,20200322,2
13968,20200113,1
12706,20200323,1
12706,20200324,1
12706,20200325,1
12706,20200326,1
12706,20200327,1
11900,20200113,1
13014,20200323,1
13014,20200324,1
13014,20200325,1
13014,20200326,1
13014,20200327,1
13969,20200327,1
13969,20200207,1
13969,20200214,1
11892,20200328,1
11895,20200224,2
11895,20200225,2
11895,20200226,2
11895,20200227,2
11895,20200228,2
11895,20200301,2
11895,20200302,2
11895,20200303,2
11895,20200304,2
11895,20200305,2
11895,20200306,2
11895,20200308,2
11895,20200309,2
11895,20200310,2
11895,20200311,2
11895,20200312,2
11895,20200313,2
11895,20200315,2
11895,20200316,2
11895,20200317,2
11895,20200318,2
11895,20200319,2
11895,20200320,2
11895,20200322,2
20487,20200113,1
14990,20200229,2
14990,20200301,2
14990,20200307,2
14990,20200308,2
14990,20200314,2
14990,20200315,2
14990,20200321,2
14990,20200322,2
15351,20200229,2
15351,20200307,2
15351,20200314,2
15351,20200321,2
20488,20200323,1
20488,20200324,1
20488,20200325,1
20488,20200326,1
20488,20200327,1
20488,20200328,1
20488,20200330,1
20488,20200331,1
20488,20200401,1
20488,20200402,1
20488,20200403,1
20488,20200404,1
20488,20200406,1
20488,20200407,1
20488,20200408,1
20488,20200409,1
20488,20200410,1
20488,20200411,1
20488,20200222,2
17311,20200224,2
17311,20200225,2
17311,20200226,2
17311,20200227,2
17311,20200228,2
17311,20200301,2
17311,20200302,2
17311,20200303,2
17311,20200304,2
17311,20200305,2
17311,20200306,2
17311,20200308,2
17311,20200309,2
17311,20200310,2
17311,20200311,2
17311,20200312,2
17311,20200313,2
17311,20200315,2
17311,20200316,2
17311,20200317,2
17311,20200318,2
17311,20200319,2
17311,20200320,2
17311,20200322,2
17314,20200113,1
11901,20200224,2
11901,20200225,2
11901,20200226,2
11901,20200227,2
11901,20200228,2
11901,20200229,2
11901,20200301,2
11901,20200302,2
11901,20200303,2
11901,20200304,2
11901,20200305,2
11901,20200306,2
11901,20200307,2
11901,20200308,2
11901,20200309,2
11901,20200310,2
11901,20200311,2
11901,20200312,2
11901,20200313,2
11901,20200314,2
11901,20200315,2
11901,20200316,2
11901,20200317,2
11901,20200318,2
11901,20200319,2
11901,20200320,2
11901,20200321,2
11901,20200322,2
13967,20200203,1
13967,20200204,1
13967,20200205,1
13967,20200206,1
13967,20200210,1
13967,20200211,1
13967,20200212,1
13967,20200213,1
20489,20200222,1
20489,20200209,1
20489,20200216,1
20489,20200223,1
555,20200329,1
21047,20200113,1
11836,20200323,1
11836,20200330,1
11836,20200406,1
11836,20200114,1
11836,20200115,1
11836,20200116,1
11836,20200117,1
11836,20200120,1
11836,20200121,1
11836,20200122,1
11836,20200123,1
11836,20200124,1
11836,20200127,1
11836,20200128,1
11836,20200129,1
11836,20200130,1
11836,20200131,1
11838,20200113,1
14136,20200210,2
14136,20200211,2
14136,20200212,2
14136,20200213,2
14136,20200214,2
14136,20200217,2
14136,20200218,2
14136,20200219,2
14136,20200220,2
14136,20200221,2
14136,20200224,2
