route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE27,11819,OCESN859269F0400423825,"859269",1,,
OCE27,12292,OCESN859285F0200214974,"859285",1,,
OCE27,12088,OCESN859291F0200226581,"859291",1,,
OCE27,11819,OCESN859273F0200223792,"859273",1,,
OCE27,11912,OCESN859293F0200231163,"859293",1,,
OCE27,11834,OCESN859287F020028135,"859287",1,,
OCE27,11819,OCESN859275F0200226242,"859275",1,,
OCE27,11936,OCESN859289F0200220287,"859289",1,,
OCE27,11833,OCESN859281F0300322982,"859281",1,,
OCE27,11833,OCESN859255F0200223966,"859255",1,,
OCE27,12088,OCESN859295F0200216617,"859295",1,,
OCE27,11833,OCESN859265F0200218816,"859265",1,,
OCE27,11819,OCESN859277F0200223367,"859277",1,,
OCE27,11819,OCESN859123F0200216474,"859123",1,,
OCE27,11819,OCESN859125F0200215673,"859125",1,,
OCE27,11834,OCESN859139F0200223779,"859139",1,,
OCE27,11833,OCESN859117F0200222579,"859117",1,,
OCE27,11819,OCESN859127F020025577,"859127",1,,
OCE27,11819,OCESN859131F0300321754,"859131",1,,
OCE27,11819,OCESN859121F0200230887,"859121",1,,
OCE27,11819,OCESN859129F0200232444,"859129",1,,
OCE27,11912,OCESN859145F0200223388,"859145",1,,
OCE27,12088,OCESN859143F0200231875,"859143",1,,
OCE27,12088,OCESN859137F020023589,"859137",1,,
OCE27,11833,OCESN859105F0200221246,"859105",1,,
OCE27,12292,OCESN859135F0200223646,"859135",1,,
OCE27,11834,OCESN859141F020029114,"859141",1,,
OCE27,11833,OCESN859113F0200217974,"859113",1,,
OCE27,11819,OCESN859199F0100124292,"859199",1,,
OCE27,12088,OCESN859298F0200210672,"859298",0,,
OCE27,11833,OCESN859252F0200232459,"859252",0,,
OCE27,11819,OCESN859274F020025313,"859274",0,,
OCE27,11819,OCESN859272F0200221231,"859272",0,,
OCE27,11833,OCESN859262F020021678,"859262",0,,
OCE27,11833,OCESN859254F0200222689,"859254",0,,
OCE27,11819,OCESN859266F0200233243,"859266",0,,
OCE27,12292,OCESN859284F0200218946,"859284",0,,
OCE27,11990,OCESN859292F0200224102,"859292",0,,
OCE27,12292,OCESN859290F0200224163,"859290",0,,
OCE27,16015,OCESN859288F0200211423,"859288",0,,
OCE27,11912,OCESN859296F0200214810,"859296",0,,
OCE27,12088,OCESN859286F0200229541,"859286",0,,
OCE27,11833,OCESN859256F020028974,"859256",0,,
OCE27,12128,OCESN859294F020028674,"859294",0,,
OCE27,12088,OCESN859136F0200232708,"859136",0,,
OCE27,12292,OCESN859134F020029514,"859134",0,,
OCE27,11819,OCESN859122F020022,"859122",0,,
OCE27,16015,OCESN859138F0200224208,"859138",0,,
OCE27,11834,OCESN859140F0200213693,"859140",0,,
OCE27,11833,OCESN859110F0200224300,"859110",0,,
OCE27,11833,OCESN859104F0200211850,"859104",0,,
OCE27,11819,OCESN859126F0200224275,"859126",0,,
OCE27,11833,OCESN859114F0200219906,"859114",0,,
OCE27,11912,OCESN859144F0200215588,"859144",0,,
OCE27,12088,OCESN859146F0200211509,"859146",0,,
OCE27,11833,OCESN859108F0200220564,"859108",0,,
OCE27,11833,OCESN859102F0200223478,"859102",0,,
OCE27,11833,OCESN859100F0200232665,"859100",0,,
OCE27,11990,OCESN859142F0200211956,"859142",0,,
OCE27,11819,OCESN859118F0200224042,"859118",0,,
OCE27,11819,OCESN859198F0100124186,"859198",0,,
OCE140660,2350,OCESN034067R030037686,"34067",1,,
OCE140660,548,OCESN034063R020023,"34063",1,,
OCE140660,548,OCESN034071R0200215,"34071",1,,
OCE140660,12969,OCESN034243R020022375,"34243",1,,
OCE637330,14223,OCESN830547F0400426432,"830547",1,,
OCE637330,14223,OCESN830541F0400427499,"830541",1,,
OCE637330,14223,OCESN830531F110116207,"830531",1,,
OCE637330,20871,OCESN830537F0500531761,"830537",1,,
OCE637330,11966,OCESN830571F0200226959,"830571",1,,
OCE637330,11841,OCESN830601F0500527160,"830601",1,,
OCE637330,11966,OCESN830569F050052497,"830569",1,,
OCE637330,11910,OCESN830507F0400428592,"830507",1,,
OCE637330,11910,OCESN830523F0400427242,"830523",1,,
OCE637330,20872,OCESN830537F0600631762,"830537",1,,
OCE637330,11910,OCESN830511F0400426416,"830511",1,,
OCE637330,11841,OCESN830587F0400426305,"830587",1,,
OCE637330,11910,OCESN830563F0300326316,"830563",1,,
OCE637330,11841,OCESN830597F0500526823,"830597",1,,
OCE637330,11841,OCESN830585F0400429536,"830585",1,,
OCE637330,11841,OCESN830593F0300326528,"830593",1,,
OCE637330,11910,OCESN830517F0300311718,"830517",1,,
OCE637330,11824,OCESN830611F0300327322,"830611",1,,
OCE637330,11824,OCESN830623F0500527471,"830623",1,,
OCE637330,20331,OCESN830547F0500526433,"830547",1,,
OCE637330,11841,OCESN830589F0500520045,"830589",1,,
OCE637330,11824,OCESN830595F0500526845,"830595",1,,
OCE637330,11824,OCESN830619F0500527141,"830619",1,,
OCE637330,11910,OCESN830559F020027705,"830559",1,,
OCE637330,11841,OCESN830595F0600626844,"830595",1,,
OCE637330,14225,OCESN830541F0500527495,"830541",1,,
OCE637330,14225,OCESN830531F080086210,"830531",1,,
OCE637330,15636,OCESN830607F0500521960,"830607",1,,
OCE637330,1472,OCESN830607F0400421959,"830607",1,,
OCE637330,15636,OCESN830621F0600626330,"830621",1,,
OCE637330,11824,OCESN830609F0700726548,"830609",1,,
OCE637330,11841,OCESN830599F0500530779,"830599",1,,
OCE637330,11841,OCESN830591F0300328929,"830591",1,,
OCE637330,1472,OCESN830621F0500526329,"830621",1,,
OCE637330,14223,OCESN830530F0900931579,"830530",0,,
OCE637330,20871,OCESN830526F0600629701,"830526",0,,
OCE637330,14223,OCESN830518F0400416393,"830518",0,,
OCE637330,14223,OCESN830536F0600627187,"830536",0,,
OCE637330,15636,OCESN830616F0200227534,"830616",0,,
OCE637330,14225,OCESN830518F0300316394,"830518",0,,
OCE637330,14225,OCESN830530F1201231580,"830530",0,,
OCE637330,11910,OCESN830556F0300327373,"830556",0,,
OCE637330,11910,OCESN830502F0300326502,"830502",0,,
OCE637330,12951,OCESN830578F0500528289,"830578",0,,
OCE637330,11910,OCESN830546F0200227550,"830546",0,,
OCE637330,11910,OCESN830508F0300332276,"830508",0,,
OCE637330,1471,OCESN830578F0400428290,"830578",0,,
OCE637330,11841,OCESN830582F0400417688,"830582",0,,
OCE637330,11841,OCESN830576F0300314903,"830576",0,,
OCE637330,11910,OCESN830562F0300316761,"830562",0,,
OCE637330,11841,OCESN830584F0400426362,"830584",0,,
OCE637330,11841,OCESN830580F0200224886,"830580",0,,
OCE637330,1472,OCESN830616F0400427536,"830616",0,,
OCE637330,1472,OCESN830606F0400426842,"830606",0,,
OCE637330,11841,OCESN830574F0300326644,"830574",0,,
OCE637330,11966,OCESN830554F0200233018,"830554",0,,
OCE637330,12951,OCESN830592F0600632895,"830592",0,,
OCE637330,1471,OCESN830592F0300332896,"830592",0,,
OCE637330,15636,OCESN830614F0500527178,"830614",0,,
OCE637330,15636,OCESN830610F0600614297,"830610",0,,
OCE637330,1472,OCESN830610F0400414295,"830610",0,,
OCE637330,11824,OCESN830600F0300326896,"830600",0,,
OCE637330,1472,OCESN830614F0400427176,"830614",0,,
OCE637330,11824,OCESN830608F0200226422,"830608",0,,
OCE637330,1471,OCESN830588F0400427068,"830588",0,,
OCE637330,20872,OCESN830526F0500529700,"830526",0,,
OCE637330,20331,OCESN830536F0500527188,"830536",0,,
OCE637330,12951,OCESN830588F0500527065,"830588",0,,
OCE637330,11824,OCESN830620F030034,"830620",0,,
OCE637330,11910,OCESN830558F0300324161,"830558",0,,
OCE637330,11910,OCESN830550F02002355,"830550",0,,
OCE637330,11841,OCESN830572F0200226819,"830572",0,,
OCE637330,15636,OCESN830606F0500526840,"830606",0,,
OCE140661,11825,OCESN034241R030035,"34241",1,,
OCE140661,11825,OCESN034240R0300312,"34240",0,,
OCE1650163,11819,OCESN866171F0200219482,"866171",1,,
OCE1650163,11936,OCESN866187F0400419505,"866187",1,,
OCE1650163,11840,OCESN866173F0200219460,"866173",1,,
OCE1650163,11840,OCESN866193F040041938,"866193",1,,
OCE1650163,11819,OCESN866191F0200210676,"866191",1,,
OCE1650163,14817,OCESN866185F0200230056,"866185",1,,
OCE1650163,11819,OCESN866175F0200219712,"866175",1,,
OCE1650163,11936,OCESN866177F0200214808,"866177",1,,
OCE1650163,14817,OCESN866179F0200212640,"866179",1,,
OCE1650163,14777,OCESN866183F0200211715,"866183",1,,
OCE1650163,14777,OCESN866189F040048054,"866189",1,,
OCE1650163,11819,OCESN866195F0200214204,"866195",1,,
OCE1650163,11819,OCESN866198F020027757,"866198",0,,
OCE1650163,11833,OCESN866196F0500513931,"866196",0,,
OCE1650163,11834,OCESN866196F0400413929,"866196",0,,
OCE1650163,14817,OCESN866184F020029621,"866184",0,,
OCE1650163,11840,OCESN866178F0200232074,"866178",0,,
OCE1650163,14817,OCESN866180F0200223310,"866180",0,,
OCE1650163,11936,OCESN866182F020021201,"866182",0,,
OCE1650163,11840,OCESN866192F0400430994,"866192",0,,
OCE1650163,14817,OCESN866188F020028255,"866188",0,,
OCE1650163,11936,OCESN866190F0400414845,"866190",0,,
OCE1650163,11819,OCESN866194F0200219216,"866194",0,,
OCE1650163,11819,OCESN866176F020026,"866176",0,,
OCE1650163,14777,OCESN866186F0200217859,"866186",0,,
OCE626,12248,OCESN423007R0200225224,"423007",1,,
OCE626,11828,OCESN876437F0300310,"876437",1,,
OCE626,11827,OCESN876437F040048,"876437",1,,
OCE626,11826,OCESN876437F010019,"876437",1,,
OCE626,11920,OCESN876307F0700722919,"876307",1,,
OCE626,19615,OCESN876311F0500531725,"876311",1,,
OCE626,11920,OCESN876311F0700731726,"876311",1,,
OCE626,19615,OCESN876307F0500522918,"876307",1,,
OCE626,11933,OCESN876307F0600622917,"876307",1,,
OCE626,11933,OCESN876311F0600631727,"876311",1,,
OCE626,13608,OCESN876425F150154261,"876425",1,,
OCE626,16219,OCESN876413F0400419084,"876413",1,,
OCE626,11920,OCESN876405F2102130744,"876405",1,,
OCE626,11933,OCESN876405F1901930746,"876405",1,,
OCE626,13970,OCESN876433F160165357,"876433",1,,
OCE626,16219,OCESN876405F2302330749,"876405",1,,
OCE626,11933,OCESN876313F060061686,"876313",1,,
OCE626,17312,OCESN876427F1801815153,"876427",1,,
OCE626,11896,OCESN876427F1401415157,"876427",1,,
OCE626,18641,OCESN876409F0700719140,"876409",1,,
OCE626,12762,OCESN876429F180181854,"876429",1,,
OCE626,13553,OCESN876439F050054079,"876439",1,,
OCE626,12073,OCESN876313F070071685,"876313",1,,
OCE626,13968,OCESN876433F120125362,"876433",1,,
OCE626,12073,OCESN876425F170174263,"876425",1,,
OCE626,11920,OCESN876313F080081682,"876313",1,,
OCE626,12706,OCESN876313F100101683,"876313",1,,
OCE626,11900,OCESN876429F190191851,"876429",1,,
OCE626,11906,OCESN876429F210211850,"876429",1,,
OCE626,12007,OCESN876439F040044077,"876439",1,,
OCE626,18644,OCESN876409F0600619143,"876409",1,,
OCE626,13552,OCESN876439F020024080,"876439",1,,
OCE626,11920,OCESN876425F250254266,"876425",1,,
OCE626,13014,OCESN876425F200204269,"876425",1,,
OCE626,11933,OCESN876425F190194267,"876425",1,,
OCE626,11933,OCESN876413F0300319085,"876413",1,,
OCE626,18642,OCESN876409F0800819141,"876409",1,,
OCE626,11920,OCESN876413F0500519086,"876413",1,,
OCE626,13969,OCESN876433F080085363,"876433",1,,
OCE626,11894,OCESN876431F04004108,"876431",1,,
OCE626,11896,OCESN876431F11011100,"876431",1,,
OCE626,11892,OCESN876431F07007107,"876431",1,,
OCE626,11895,OCESN876431F08008106,"876431",1,,
OCE626,12007,OCESN876423F040048590,"876423",1,,
OCE626,20487,OCESN876407F0300327791,"876407",1,,
OCE626,14990,OCESN876423F050058588,"876423",1,,
OCE626,11827,OCESN876431F09009103,"876431",1,,
OCE626,11828,OCESN876431F10010105,"876431",1,,
OCE626,11898,OCESN876431F06006104,"876431",1,,
OCE626,11896,OCESN876419F160169510,"876419",1,,
OCE626,20490,OCESN876407F1101127786,"876407",1,,
OCE626,15351,OCESN876419F100109509,"876419",1,,
OCE626,20488,OCESN876407F0700727787,"876407",1,,
OCE626,12195,OCESN876407F0400427784,"876407",1,,
OCE626,11828,OCESN876427F1201215151,"876427",1,,
OCE626,17311,OCESN876427F1601615150,"876427",1,,
OCE626,17314,OCESN876427F2102115149,"876427",1,,
OCE626,11906,OCESN086985F18018118,"86985",1,,
OCE626,11920,OCESN086989F1601611928,"86989",1,,
OCE626,11901,OCESN086985F19019111,"86985",1,,
OCE626,11900,OCESN086985F16016110,"86985",1,,
OCE626,16219,OCESN086989F1301311929,"86989",1,,
OCE626,11933,OCESN086989F1201211930,"86989",1,,
OCE626,16219,OCESN876301F1501521990,"876301",1,,
OCE626,11920,OCESN876301F1301321991,"876301",1,,
OCE626,11933,OCESN876301F1201221988,"876301",1,,
OCE626,16219,OCESN876303F0700719135,"876303",1,,
OCE626,11920,OCESN876303F0500519132,"876303",1,,
OCE626,11933,OCESN876303F0600619134,"876303",1,,
OCE626,11979,OCESN876335F020028148,"876335",1,,
OCE626,11979,OCESN876359F03003211,"876359",1,,
OCE626,11730,OCESN876125F04004371,"876125",1,,
OCE626,12071,OCESN876125F05005367,"876125",1,,
OCE626,12073,OCESN876125F03003369,"876125",1,,
OCE626,13589,OCESN876349F030034188,"876349",1,,
OCE626,13793,OCESN876341F040044840,"876341",1,,
OCE626,13967,OCESN876433F170175360,"876433",1,,
OCE626,12646,OCESN876405F1801830745,"876405",1,,
OCE626,11884,OCESN876417F0200212859,"876417",1,,
OCE626,11954,OCESN876125F06006368,"876125",1,,
OCE626,11837,OCESN876401F1301328,"876401",1,,
OCE626,11989,OCESN876121F020022460,"876121",1,,
